name,ui,normalized_name,semanticTypes,definition
Atelectasis,C0004144,Atelectasis,Pathologic Function,"Ausência de ar no pulmão inteiro ou em parte dele, como no pulmão incompletamente inflado do recém-nascido ou num pulmão adulto colapsado. Atelectasia pulmonar pode ser causada obstrução das vias respiratórias, compressão pulmonar, contração fibrótica ou outros fatores."
chronicity,C0547045,chronicity,Temporal Concept,A description or characterization of the duration of a biological process.
Loops,C0181687,Loops,Medical Device,No results
Moderately,C5201148,Moderately,Finding,Disease activity score: 30 to 44
Improvement,C2986411,Improvement,Conceptual Entity,A condition superior to an earlier condition.
plate - like,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
bones,,,,
lingula,C1561517,lingula,"Body Part, Organ, or Organ Component",No results
========
bones,C0262950,Skeletal bone,"Body Part, Organ, or Organ Component","Organ with cavitated organ parts, each instance of which has as its direct parts some maximal complement of compact (cortical) and cancellous bone, and some maximal complement of bone marrow cavities; together with instances of other bones, cartilages and joints, it constitutes some skeletal system. Examples: femur, sternum, maxilla, vertebra, talus."
lingula,C1561517,lingula,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
middle,C0444598,middle,Spatial Concept,An intermediate part or section; an area that is approximately central within some larger region.
platelike,C2021377,x-ray of chest: platelike atelectasis,Finding,None
a,,,,
persistent,C0205322,persistent,Temporal Concept,Retained; never-ceasing.
duodenum,C0013303,duodenum,"Body Part, Organ, or Organ Component","Nejkratší a nejširší část STŘEVA TENKÉHO přilehlého k pyloru v žaludku. Duodenum je pojmenováné podle přibližné velikosti dvanácti prstů spojených na šířku. duodenum - dvanáctník. Počáteční a nejkratší část tenkého střeva, do které ústí žaludek a vývody slinivky břišní a žlučníku (jater). Místo častého výskytu peptického vředu. Klasický je podkovovitý tvar, přičemž v okénku podkovy je umístěn pankreas. Žlučový vývod (choledochus) a ductus pancreaticus vyúsťují na Vaterově papile (papilla duodeni major). Ve sliznici a submukóze jsou Brunnerovy žlázky (glandulae duodenales). Název vychází z přibližné délky 12 palců, (lat. duodenum), starší název dvanácterník. (cit. Velký lékařský slovník online 2012, http://lekarske.slovniky.cz/ )"
Plate - like,,,,
Pleural,C1522720,Pleural,Spatial Concept,Of or pertaining to the pleura.
patient,C0030705,patient,Patient or Disabled Group,"A person who receives medical attention, care, or treatment, or who is registered with medical professional or institution with the purpose to receive medical care when necessary."
extubated,C0553891,Tracheal Extubation,Therapeutic or Preventive Procedure,Purposeful removal of the endotracheal tube from the nasopharyngeal or oropharyngeal airway
1,,,,
removed,C0849355,removed,Qualitative Concept,"Taken out of, separated from, or eliminated."
radiodensity,C3272911,radiodensity,Quantitative Concept,The transparency of a material to the passage of X-rays and other forms of radiation.
mucous,C0026727,Mucus (substance),Body Substance,"Viskózní sekret sliznice. Obsahuje mucin, bílé krvinky, vodu, anorganické soli a odloučené buňky."
plug,,,,
lying,C2584317,Lying down,Physiologic Function,"Getting into and out of a lying down position or changing body position from horizonal to any other position, such as standing up or sitting down."
approximately 2.3 cm,,,,
Two,C0205448,Two,Quantitative Concept,A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
2,C0205448,Two,Quantitative Concept,A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
3.5 cm above,,,,
ARDS,C0035222,"Respiratory Distress Syndrome, Adult",Disease or Syndrome,"fulminant pulmonary interstitial and alveolar edema resulting from diffuse infection, shock, or trauma of the lungs."
air bronchograms,C3669021,Air bronchogram on radiograph (finding),Finding,Bronquios llenos de aire visibles por la opacificación de los alvéolos circundantes.
Underlying,C4722602,Underlying,Finding,"Situated beneath, or the basic or root cause of something."
4.7 cm above,,,,
curled,,,,
fundus,C0740422,fundus,"Body Part, Organ, or Organ Component",the bottom or base of an organ
catheters,C0085590,catheter device,Medical Device,A flexible tube designed to transfer fluids into or out of the body.
satisfactory,C1547307,Satisfactory - Patient Condition Code,Intellectual Product,None
dysfunction,C3887504,dysfunction,Conceptual Entity,"Disturbance, impairment or abnormality of function."
2.8 cm above,,,,
small - to - moderate,,,,
haze,,,,
Moderate - to - severe,C1299393,Moderate to severe,Qualitative Concept,None
moderate - to - severe,C1299393,Moderate to severe,Qualitative Concept,None
Indistinct,,,,
segment,C0441635,Anatomical segmentation,Spatial Concept,One of the parts into which something naturally divides.
Widened,C0332464,Widening,Spatial Concept,"Having a width, or side to side dimension, that is greater than is normally expected."
lymphadenopathy,C0497156,lymphadenopathy,Disease or Syndrome,"Abnormální velikost, počet nebo konzistence lymfatických uzlin."
arteries,C0003842,arteries,"Body Part, Organ, or Organ Component",The vessels carrying blood away from the heart.
out of view,,,,
denser,,,,
lobes,C0796494,lobes,"Body Part, Organ, or Organ Component","A portion of an organ, such as the liver, lung, breast, or brain."
ground - glass,C4697773,Ground glass,Finding,None
withdrawn 1 cm,,,,
2.9 cm above,,,,
coiled,,,,
3.4 cm,,,,
leftward,C5570776,leftward,Spatial Concept,No results
Hilar,C0205150,Hilar,Spatial Concept,Refers to the area associated with the hilum.
adenopathy,C0497156,Lymphadenopathy,Disease or Syndrome,"Abnormální velikost, počet nebo konzistence lymfatických uzlin."
Expected,C1517001,Expected (qualifier),Intellectual Product,"<p>This result has been evaluated in light of known contraindicators. Once those contraindicators have been taken into account the result is determined to be ""Expected"" (e.g., presence of drugs in a patient that is taking prescription medication for pain management).</p>"
Little,C0023882,Little's Disease,Disease or Syndrome,"Spasticity (neuromuscular hypertonia) primarily in the muscles of the legs, hips, and pelvis. [https://orcid.org/0000-0002-0736-9199]"
extubation,C0553891,Tracheal Extubation,Therapeutic or Preventive Procedure,Purposeful removal of the endotracheal tube from the nasopharyngeal or oropharyngeal airway
NGT,C0085678,Nasogastric tube,Medical Device,"A gastrointestinal tube and accessories is a device that consists of flexible or semi-rigid tubing used for instilling fluids into, withdrawing fluids from, splinting, or suppressing bleeding of the alimentary tract. This device may incorporate an integral inflatable balloon for retention or hemostasis. This generic type of device includes the hemostatic bag, irrigation and aspiration catheter (gastric, colonic, etc.), rectal catheter, sterile infant gavage set, gastrointestinal string and tubes to locate internal bleeding, double lumen tube for intestinal decompression or intubation, feeding tube, gastroenterostomy tube, Levine tube, nasogastric tube, single lumen tube with mercury weight balloon for intestinal intubation or decompression, and gastro-urological irrigation tray (for gastrological use)."
removal,C1883720,Removing (action),Activity,Shift the position or location of; take out of.
bronchograms,C0006282,Contrast bronchogram,Diagnostic Procedure,"Rentgenové vyšetření průdušek pomocí kontrastní látky podané do průdušek. (Cit. Velký lékařský slovník, http://lekarske.slovniky.cz/ 2014)"
obliterating,C0700134,obliterated,Functional Concept,None
3.6 cm above,,,,
orogastric,C0450104,orogastric,Spatial Concept,No results
out of the field of view,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
Enlargement,,,,
exaggerated,C0442801,exaggerated,Qualitative Concept,No results
========
Enlargement,C2711450,Enlargement (morphologic abnormality),Anatomical Abnormality,None
exaggerated,C0442801,exaggerated,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
AP technique,,,,
cardiomegally,C0007226,Cardiomegaly,Body System,"bodily system consisting of the heart, blood vessels, and blood that circulates blood throughout the body, delivers nutrients and other essential materials to cells, and removes waste products."
right side,C0205090,Right,Spatial Concept,Being or located on or directed toward the side of the body to the east when facing north.
inlet,,,,
generalized,C0205246,generalized,Spatial Concept,"Widespread, broadly dispersed, common."
retained,C0333118,retained,Functional Concept,To maintain possession of something.
secretions,C0036537,Bodily secretions,Body Substance,"Endogenous substances produced through the activity of intact cells of glands, tissues, or organs."
Pacemaker,C0810633,Pacemaker,Medical Device,"Stimulators used to regulate or substitute the normal rate at which a biologic center establishes the regular intervals of activity (rhythm) of an organ (e.g., heart, lungs). These stimulators control the pace by means of some artificial (e.g., electric generator) stimuli. Pacemakers can be designed either for continuous use (usually implantable devices) or for temporary external use."
kyphosis,C2115817,kyphosis,Finding,No results
pacer,,,,
not well evaluated,,,,
Healed,C0205249,Healed,Functional Concept,"Recovered, restored to healthy condition by natural processes, e.g. by scar formation; freed from illness or injury."
cage,C0337189,"Cage, device",Manufactured Object,None
trauma,C3714660,trauma,Injury or Poisoning,"damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity; for emotional trauma use PSYCHOLOGICAL SHOCK."
gas,C0017110,Gases,Chemical Viewed Structurally,"Plyn neboli plynná látka je jedno ze skupenství látek, při kterém jsou částice relativně daleko od sebe, pohybují se v celém objemu a nepůsobí na sebe přitažlivou silou. V chemických rovnicích se označuje písmenem g (gas). Plynná tělesa nemají svůj tvar, ale jejich tvar odpovídá tvaru nádoby; nemají vlastní objem, ale vyplňují vždy celý objem nádoby; plynná tělesa nemají volný povrch (hladinu); plyny jsou stlačitelné; vedou elektrický proud jen za určitých speciálních podmínek; teplo se v plynech může šířit prouděním. Celkový tlak plynu ve směsi vzájemně chemicky neinteragujících plynů je dán Daltonovým zákonem. (upraveno podle Wikipedie 2022 http://www.cs.wikipedia.org/)"
under,C0542339,Inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
subdiaphragmatic,C0230210,Subdiaphragmatic region,Body Location or Region,None
approximately,C0332232,Approximate,Qualitative Concept,Not quite exact or correct; almost exact or correct.
13 mm,,,,
hyperlucent,,,,
cervical,C0205064,cervical,Spatial Concept,"Relating to a neck, or cervix, in any sense."
soft tissue,C0225317,soft tissue,Tissue,A system of diagnosis and treatment directed toward tissues other than skeletal or arthrodial elements.
CP,C0719066,CP,Organic Chemical,No results
bony,C0443157,bony,Functional Concept,No results
Fully,,,,
to,C1883351,to,Qualitative Concept,"Used as a function word to indicate direction, purpose, or movement."
underpenetration,,,,
Worsening,C0332271,Worsening (qualifier value),Qualitative Concept,None
supine,C0038846,Supine Position,Spatial Concept,The posture of an individual lying face up.
great,C1704243,Greater,Quantitative Concept,"Notable in size, number, measure, magnitude, degree, or effectiveness."
vessel,,,,
6 cm above,,,,
coursing,C0750729,Course,Temporal Concept,"Passage through time; duration; a systematic or/and orderly succession; a sequence, e.g. course of treatment; a mode of action or behavior; natural development, typical manner of proceeding."
inferiorly,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
expected,,,,
widened,,,,
inspiration,C1507287,inspiration,Clinical Attribute,No results
opacifications,C0449584,opacifications,Qualitative Concept,No results
========
expected,C1517001,Expected (qualifier),Intellectual Product,"<p>This result has been evaluated in light of known contraindicators. Once those contraindicators have been taken into account the result is determined to be ""Expected"" (e.g., presence of drugs in a patient that is taking prescription medication for pain management).</p>"
widened,C0332464,Widening,Spatial Concept,"Having a width, or side to side dimension, that is greater than is normally expected."
inspiration,C1507287,inspiration,No results,No results
opacifications,C0449584,opacifications,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
positioned,,,,
high,C0205250,high,Qualitative Concept,An elevated level or position or degree; greater than normal in degree or intensity or amount.
7 cm,,,,
Widening,C0332464,Widening,Spatial Concept,"Having a width, or side to side dimension, that is greater than is normally expected."
fat,C0001527,Adipose tissue,Tissue,"Dense irregular connective tissue, which predominantly consists of adipocytes."
High,C0205250,High,Qualitative Concept,An elevated level or position or degree; greater than normal in degree or intensity or amount.
<<<<<<<< HEAD:nen/resource/simple/output.csv
exchanged,C1621574,exchanged,Molecular Function,No results
type,,,,
Prominent,C0205402,Prominent,Qualitative Concept,No results
========
exchanged,C1621574,exchanged,No results,No results
type,C0332307,Type - attribute,Qualitative Concept,"This attribute is used to specify the type of inherent quality or process that is to be observed. Its values are abstract types of quality (length, odor, concentration) or abstract types of process features (rate, speed), and do not include qualities that are located (length of arm, odor of urine), or given a value (elevated concentration)."
Prominent,C0205402,Prominent,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
density,C0178587,density,Quantitative Concept,The amount of something per unit size.
juxta,,,,
nasoenteric,C3204183,Nasoenteral tube,Medical Device,"Tubes designed to provide access to the small intestines (duodenum or jejunum) through the nose. These devices typically consist of a rubber or plastic tube that is inserted through the nose, down the throat, through the esophagus, along the lesser curvature of the stomach, through the pyloric sphincter, and into the duodenum. Nasoenteral tubes are longer than nasogastric tubes. Dedicated tubes used for decompression and/or enteral feeding are also available."
GE junction,,,,
semiupright,,,,
projection,,,,
parts,C0449719,parts,Spatial Concept,One of the portions into which something is regarded as divided and which together constitute a whole.
collapsed,C0392748,collapsed,Functional Concept,No results
decompensation,C0231187,decompensation,Finding,"The inability of an organ or organ system to maintain homeostasis due to functional overload, often caused by the presence of disease intrinsic to the organ or organ system, or dysfunction in other organ systems."
Its,,,,
gastric,C1704242,Gastric (qualifier value),Qualitative Concept,Relating to the stomach.
gastroenterostomy,C0017164,gastroenterostomy,Therapeutic or Preventive Procedure,Variedade dos procedimentos cirúrgicos reconstrutivos planejados para restaurar a continuidade gastrointestinal. As duas principais classes de procedimentos de reconstrução são a Billroth I (gastroduodenostomia) e a Billroth II (gastrojejunostomia).
Esophageal,C1522619,Esophageal,Spatial Concept,relating to esophagus
drainage,C0013103,Drainage procedure,Therapeutic or Preventive Procedure,"The removal of fluids or discharges from the body, such as from a wound, sore, or cavity."
quite,,,,
milder,,,,
AICD,C0972395,Automatic Implantable Cardioverter-Defibrillators,Medical Device,None
single,C0205171,Singular,Quantitative Concept,Not accompanied by another or others; exclusive of anyone or anything else.
Indistinctness,,,,
procedure,C2700391,Procedure (set of actions),Functional Concept,Any stepwise set of actions.
wedge,C0439639,wedge,Spatial Concept,Any shape that is triangular in cross section.
<<<<<<<< HEAD:nen/resource/simple/output.csv
resection,,,,
6 - mm,C3842086,6 - mm,Finding,No results
nodular,,,,
suture,,,,
========
resection,C0728940,Excision,Therapeutic or Preventive Procedure,"The surgical removal of a lesion, often as part of a biopsy and with healthy margins."
6 - mm,C3842086,6 - mm,No results,No results
nodular,C0205297,Nodular (qualifier value),Qualitative Concept,None
suture,C1705834,Suture Device,Manufactured Object,"A natural (e.g., catgut, silk, or linen) or synthetic, or other (e.g., thin metal wire) monofilament or multifilament material used surgically to close a surgical or accidental wound and to secure apposition of the edges and join tissues."
>>>>>>>> origin/main:nen/resource/output.csv
seventh,C0205441,seventh,Quantitative Concept,Following the sixth position in an ordering or series; coming next after the sixth and just before the eighth in position.
Remainder,,,,
Bronchial,C0205039,Bronchial,"Body Part, Organ, or Organ Component","Of, or pertaining to, the bronchus."
skeletal,C0521324,skeletal,Spatial Concept,No results
6,C5399941,6,Finding,Dead
mm,C0456680,mm,Quantitative Concept,"A unit of both speed (scalar) and velocity (vector), defined as the distance of one millimeter travelled per unit time equal to one hour."
nodule,C0028259,nodule,Acquired Abnormality,A 1 to 5 cm firm lesion raised above the surface of the surrounding skin; differs from a papule only in size
chain,,,,
sutures,C0038969,Surgical sutures,Medical Device,"Materiais usados no fechamento de uma ferida cirúrgica ou traumática com pontos. (Dorland, 28a ed)"
Pneumoperitoneum,C0032320,Pneumoperitoneum,Disease or Syndrome,"Přítomnost vzduchu v břišní (peritoneální) dutině. Vzniká např. proniknutím vzduchu při perforaci některého z dutých břišních orgánů, např. jako závažná komplikace peptického vředu. Vzduch se u stojícího pacienta hromadí pod bránicí, a na rentgenovém snímku je proto patrný jako poloměsíčité (srpkovité) projasnění. (cit. Velký lékařský slovník online, 2012 http://lekarske.slovniky.cz/ )"
<<<<<<<< HEAD:nen/resource/simple/output.csv
pedicle,C0456605,pedicle,"Body Part, Organ, or Organ Component",No results
Free,,,,
underneath,,,,
projectional,,,,
Multi,C1651007,Multi,Organic Chemical,No results
ill,,,,
defined,C5239603,defined,Functional Concept,Clearly characterized or delimited.
sarcoidosis,C0036202,sarcoidosis,Disease or Syndrome,"A rare multisystemic, autoinflammatory disorder of unknown etiology characterized by the formation of immune, non-caseating granulomas in any organ(s), leading to variable clinical symptoms and severity. Clinical presentation is typically with persistent dry cough, eye or skin manifestations, peripheral lymph nodes, fatigue, weight loss, fever or night sweats, and Löfgren syndrome."
Chain,,,,
Rounded,,,,
discrete,,,,
fullness,C0439650,fullness,Spatial Concept,No results
suprahilar,,,,
consolidative,,,,
fibrotic,C0334129,fibrotic,Qualitative Concept,No results
========
pedicle,C0456605,pedicle,No results,No results
Free,C0332296,Free of (attribute),Functional Concept,None
underneath,,,,
projectional,,,,
Multi,C1651007,Multi,No results,No results
ill,C0231218,Malaise,Sign or Symptom,"A feeling of general discomfort, weakness, or lack of health. []"
defined,C5239603,defined,Functional Concept,Clearly characterized or delimited.
sarcoidosis,C0036202,sarcoidosis,Disease or Syndrome,"A rare multisystemic, autoinflammatory disorder of unknown etiology characterized by the formation of immune, non-caseating granulomas in any organ(s), leading to variable clinical symptoms and severity. Clinical presentation is typically with persistent dry cough, eye or skin manifestations, peripheral lymph nodes, fatigue, weight loss, fever or night sweats, and Löfgren syndrome."
Chain,,,,
Rounded,C0332490,Round shape,Spatial Concept,The shape of a circle.
discrete,C0443299,Separate,Qualitative Concept,Independent; not united or joint.
fullness,C0439650,fullness,No results,No results
suprahilar,C0934260,Suprahilar part of mediastinal pleura,"Body Part, Organ, or Organ Component",None
consolidative,C0702116,Consolidation,Qualitative Concept,None
fibrotic,C0334129,fibrotic,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
longstanding,,,,
micronodules,C0431693,Micronodule,Disease or Syndrome,"A form of autosomal dominant tubulointerstitial kidney disease (ADTKD) due to variants in or whole gene deletions of &lt;i&gt;HNF1B&lt;/i&gt;, which is characterized by chronic tubulo-interstitial nephritis, that manifests with nonsignificant urinalysis and slowly progressive renal failure. It can be associated with cystic kidney dysplasia, early onset diabetes and extrarenal manifestations."
fibrosis,C0016059,fibrosis,Pathologic Function,"Any pathological condition where fibrous connective tissue invades any organ, usually as a consequence of inflammation or other injury."
thoracolumbar junction,C1508706,Spine Thoracolumbar Junction,Body Space or Junction,None
Opacity,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,None
not appreciably changed,,,,
bulging,C0333056,protrusion,Anatomical Abnormality,None
Band - like,,,,
Post - surgical,,,,
Nodular,C0205297,Nodular (qualifier value),Qualitative Concept,None
wedge resection,C0184909,Wedge resection - action,Therapeutic or Preventive Procedure,Excision of a wedge-shaped piece of tissue (often but not necessarily for diagnostic examination)
operative,C1882154,operative,Temporal Concept,Occurring during or associated with a surgical procedure.
scattered,C0439742,scattered,Spatial Concept,No results
Subcentimeter,,,,
Fullness,C0439650,Fullness,Spatial Concept,No results
distended,C4082695,distended,Qualitative Concept,Expanded out from or swelling from normal boundaries.
same,C0445247,same,Qualitative Concept,"Equal, or closely similar or comparable, in kind or quality or quantity or degree."
location,C0450429,location,Spatial Concept,"A position, site, or point in space where something can be found."
view,C0449911,view,Spatial Concept,"A specific representation of data, situations, topics, etc."
it,,,,
amorphous,,,,
Suture,,,,
material,C0520510,material,Substance,"general term for structural metal, plastic, fabric, and other components of devices, equipment, buildings, apparel, etc."
sarcoid,C0036202,Sarcoidosis,Disease or Syndrome,"A rare multisystemic, autoinflammatory disorder of unknown etiology characterized by the formation of immune, non-caseating granulomas in any organ(s), leading to variable clinical symptoms and severity. Clinical presentation is typically with persistent dry cough, eye or skin manifestations, peripheral lymph nodes, fatigue, weight loss, fever or night sweats, and Löfgren syndrome."
flair,C2826145,Fluid Attenuated Inversion Recovery,Diagnostic Procedure,"A magnetic resonance imaging (MRI) pulse sequence that uses an inversion recovery technique to null fluids present in the imaging area, improving clarity of the object of interest."
compartment,C1185625,Anatomical compartments,Intellectual Product,"<p>This is the healthcare analog to the US Intelligence Community\'s concept of a Special Access Program. Compartment codes may be used in as a field value in an initiator\'s clearance to indicate permission to access and use an IT Resource with a security label having the same compartment value in security category label field.</p><p>Map: Aligns with ISO 2382-8 definition of Compartment - ""A division of data into isolated blocks with separate security controls for the purpose of reducing risk.""</p>"
Tiny,,,,
high - positioned,,,,
plate,,,,
atelectases,C0004144,atelectases,Pathologic Function,"Ausência de ar no pulmão inteiro ou em parte dele, como no pulmão incompletamente inflado do recém-nascido ou num pulmão adulto colapsado. Atelectasia pulmonar pode ser causada obstrução das vias respiratórias, compressão pulmonar, contração fibrótica ou outros fatores."
Lateral,C0205093,Lateral,Spatial Concept,Applies to an abnormality that is located farther from the median plane or midline of the body or of the referenced structure. []
sinuses,C0030471,Nasal sinus,Body Space or Junction,"Any one of the air-filled spaces within the ethmoid, frontal, maxillary, or sphenoid bones, which communicate with the nasal cavity."
accumulation,C4055506,accumulation,Finding,A state characterized by the gradual increase in entities or substances.
dependent,C3244310,dependent,Functional Concept,<p>A party covered under a policy based on association with a subscriber.</p>
borders,,,,
congestive,C0742742,congestive,Qualitative Concept,Relating to or affected by an abnormal collection of blood or other fluid.
pattern,C0449774,pattern,Spatial Concept,"An arrangement of objects, facts, behaviors, or other things which have scientific, mathematical, geometric, statistical, or other meaning."
overlie,,,,
posteroinferior,,,,
Substantial,,,,
streak,C2348542,streak,Idea or Concept,A marking of a different color or texture from the background.
<<<<<<<< HEAD:nen/resource/simple/output.csv
Vertebral,,,,
stabilization,C1293130,stabilization,Therapeutic or Preventive Procedure,No results
========
Vertebral,C0037949,Vertebral column,"Body Part, Organ, or Organ Component","Páteř tvoří nosnou oporu a pohyblivý pilíř celého těla. Je součástí osového skeletu. Je složena z částí - segmentů (krčního C1-C7, hrudního Th1-Th12, bederního L1-L5, křížového S1-S5 a kostrčního Co1-Co4(Co5). Páteř tvoří jednotlivé kosti, obratle (vertebrae), které jsou navzájem spojeny pevnými, avšak pohyblivými spoji. (upraveno podle Wikiskripta 2018 http://www.wikiskripta.eu/)"
stabilization,C1293130,stabilization,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
paraspinal,C0442145,paraspinal,Spatial Concept,Pertaining to muscles and/or tissue adjacent to the spinal column.
Spinal,C0521329,Spinal,Spatial Concept,Of or relating to the spine or spinal cord.
Tubes,,,,
fine,,,,
detail,C1522508,detail,Qualitative Concept,Particulars considered individually and in relation to a whole.
esophageal,C1522619,esophageal,Spatial Concept,relating to esophagus
layered,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
hazinness,,,,
Layered,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
cutaneous,C0221912,cutaneous,Spatial Concept,Involving the skin.
intubated,C4698386,intubated,Finding,No results
8 cm above,,,,
nondisplaced,,,,
dorsolateral part,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
anchor,C3854239,anchor,Medical Device,No results
masses,,,,
========
anchor,C3854239,anchor,No results,No results
masses,C1265602,Multiple masses,Anatomical Abnormality,None
>>>>>>>> origin/main:nen/resource/output.csv
lesions,C0221198,lesions,Finding,"A localized pathological or traumatic structural change, damage, deformity, or discontinuity of tissue, organ, or body part."
Asymmetric,C0332514,Asymmetry (qualifier value),Qualitative Concept,A finding of a lack of symmetry between two or more bilaterally aligned structures.
Coronary,C1522318,Coronary,Spatial Concept,Surrounding like a crown (especially of the blood vessels surrounding the heart).
marked,C1706089,marked,Qualitative Concept,A prominent or noticeable characteristic.
Pre,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
manifestation,,,,
erect,C0522014,erect,Functional Concept,No results
========
manifestation,C1280464,Manifestation of,Qualitative Concept,None
erect,C0522014,erect,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
S - shaped,,,,
silhouetting,,,,
decompensating,C0205434,Decompensated,Qualitative Concept,None
cardiogenic,,,,
Scoliosis,C0036439,"Scoliosis, unspecified",Disease or Syndrome,"Vychýlení páteře do strany. S. může být vrozená nebo způsobená různými onemocněními páteře, zádových svalů nebo nervů. S. může mít charakter nestrukturální (např. při lumboischialgických bolestech, nestejné délce dolních končetin, onemocnění hrudní dutiny) nebo strukturální (klínovitá hemivertebra, torze obratle aj.). Podle příčiny se rovněž rozlišuje s. osteopatická, myopatická, neuropatická. Značná část strukturálních s. je idiopatická. V léčbě je důležité cílené cvičení, vhodné je např. plavání, korzety, v některých případech je léčba operační. Srov. kyfoskolióza. (cit. Velký lékařský slovník online, 2013 http://lekarske.slovniky.cz/ )"
SUBSTANTIAL,,,,
ENLARGEMENT,C2711450,Enlargement (morphologic abnormality),Anatomical Abnormality,None
CONTINUED,,,,
PULMONARY,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
EDEMA,C0013604,Edema,Pathologic Function,Abnormal fluid accumulation in TISSUES or body cavities. Most cases of edema are present under the SKIN in SUBCUTANEOUS TISSUE.
BILATERAL,C0238767,Bilateral,Spatial Concept,Being present on both sides of the body. [https://orcid.org/0000-0002-0736-9199]
PLEURAL,C1522720,Pleural,Spatial Concept,Of or pertaining to the pleura.
EFFUSIONS,C0013687,effusion,Pathologic Function,a collection of fluid in a body cavity
COMPRESSIVE,,,,
BASILAR,C1184146,Basilar,Spatial Concept,None
ATELECTASIS,C0004144,Atelectasis,Pathologic Function,"Ausência de ar no pulmão inteiro ou em parte dele, como no pulmão incompletamente inflado do recém-nascido ou num pulmão adulto colapsado. Atelectasia pulmonar pode ser causada obstrução das vias respiratórias, compressão pulmonar, contração fibrótica ou outros fatores."
significant interval,,,,
local,C0205276,local,Spatial Concept,Of or belonging to a restricted area or locality.
rapid,C0456962,rapid,Qualitative Concept,Acting or occurring in a brief period of time.
Hazy,,,,
hematoma,C0018944,hematoma,Pathologic Function,"A collection of blood outside the BLOOD VESSELS. Hematoma can be localized in an organ, space, or tissue."
Increasing,C0442808,Increasing (qualifier value),Functional Concept,None
site,C0205145,site,Spatial Concept,A position in relation to its surroundings.
improving,C1272745,Improving (qualifier value),Qualitative Concept,None
peripherally,,,,
inserted,C0441587,Clinical act of insertion,Health Care Activity,<p>Insertion</p>
kyphotic,C0264190,Kyphotic pelvis,Disease or Syndrome,None
curvature,C0333063,Abnormal curvature,Spatial Concept,None
Hyperinflation,C1167782,Lung hyperinflation,Disease or Syndrome,"Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung."
Layering,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
bigger,C1704243,Greater,Quantitative Concept,"Notable in size, number, measure, magnitude, degree, or effectiveness."
2.3 cm above the carina,,,,
Dobbhoff,,,,
dilated,C0700124,dilated,Finding,The condition of being dilated or stretched.
<<<<<<<< HEAD:nen/resource/simple/output.csv
loops,C0181687,loops,Medical Device,No results
bowel,,,,
========
loops,C0181687,loops,No results,No results
bowel,C0021853,Intestines,"Body Part, Organ, or Organ Component","Část zažívacího traktu od ŽALUDKU po ANÁLNÍ KANÁL. Tento pojem zahrnuje jak STŘEVO TLUSTÉ tak i STŘEVO TENKÉ. Úsek trávicího ústrojí, v němž probíhá velká část trávení a vstřebávání živin a vody. Je dlouhé několik metrů a dělí se na dvě hlavní části, tenké střevo (i. tenue) a tlusté střevo (i. crassum). Základní stavba obou částí střeva je v zásadě podobná. Vnitřní částí je sliznice, pod níž je podslizniční vazivo (submukóza) a vrstva hladké svaloviny (tunica muscularis). Zevně střevo obaluje seróza, obdobného charakteru a původu jako pobřišnice. Sliznice tenkého střeva je složena v řasy a poseta střevními klky, které spolu s mikroklky jednotlivých enterocytů výrazně zvyšují plochu pro vstřebávání (dosahuje cca 100 m2). Obsahuje i četné žlázky (vč. buněk chromafinního charakteru) a lymfatickou tkáň. Submukóza je tvořena řídkým vazivem (umožňujícím sliznici skládání do řas), obsahuje Meissnerovu nervovou pleteň (plexus submucosus). Svalovina má silnější vnitřní vrstvu cirkulární a zevní vrstvu longitudinální. Mezi nimi je nervová pleteň (Auerbachův plexus myentericus). (cit. Velký lékařský slovník online, 2012 http://lekarske.slovniky.cz/ )"
>>>>>>>> origin/main:nen/resource/output.csv
